,Product,Price,Rating,No. of Ratings,No. of Reviews,images
28,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/x/j/-original-imaghxejqvpwfqh2.jpeg?q=70
29,"APPLE iPhone 13 (Blue, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
30,"APPLE iPhone 14 Pro Max (Gold, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/u/6/-original-imaghxen343tbjgj.jpeg?q=70
31,"APPLE iPhone 14 Plus (Purple, 128 GB)",76999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
32,"APPLE iPhone 12 mini (White, 64 GB)",38999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/d/g/b/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfhx4cfzue.jpeg?q=70
33,"APPLE iPhone 14 Pro Max (Silver, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/s/t/-original-imaghxengzjc2djt.jpeg?q=70
34,"APPLE iPhone 11 (Red, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
35,"APPLE iPhone 11 (White, 128 GB)",43999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/y/d/iphone-11-256-u-mwm82hn-a-apple-0-original-imafkg25mhaztxns.jpeg?q=70
36,"APPLE iPhone 11 (Black, 128 GB)",43999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
37,"APPLE iPhone 12 (Black, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
38,"APPLE iPhone 11 (Red, 128 GB)",45999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
39,"APPLE iPhone 14 Pro (Space Black, 128 GB)",122999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/l/p/-original-imaghxemc3wtcuhb.jpeg?q=70
40,"APPLE iPhone 12 (White, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
41,"APPLE iPhone 13 (Green, 128 GB)",60499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70
42,"APPLE iPhone 14 Pro Max (Gold, 256 GB)",142999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/u/6/-original-imaghxen343tbjgj.jpeg?q=70
43,"APPLE iPhone 12 (Purple, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
44,"APPLE iPhone 14 Pro Max (Space Black, 256 GB)",142999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
45,"APPLE iPhone 12 (Green, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
46,"APPLE iPhone 12 mini (Red, 256 GB)",52999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfxuhswfgj.jpeg?q=70
47,"APPLE iPhone 13 (Pink, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
48,"APPLE iPhone 11 (Purple, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/k/z/iphone-11-64-a-mwlx2hn-a-apple-0-original-imafkg24ymsjav9h.jpeg?q=70
49,"APPLE iPhone 12 (Purple, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
